laptop_brand,processor_brand,processor_number,number_of_cores,ram_generation,ram_amount,storage_type,storage_amount,screen_size,price,condition,url,laptop_id
Hewlett Packard,intel,i5,2,,8gb,ssd,,12.5`,45450,used,https://www.kupindo.com/Laptopovi/46547453_HP-EliteBook-i5-8GB-256-SSD-Akcija,46547453
Hewlett Packard,intel,i7,2,ddr3,8gb,hdd,500gb, 14``,44550,used,https://www.kupindo.com/Laptopovi/46426689_HP-EliteBook-i7-8gb-500-GB-Akcija,46426689
Lenovo,intel,i5,2,ddr3,8gb,ssd,, 14``,43600,used,https://www.kupindo.com/Laptopovi/46557093_Lenovo-i5-8GB-Intel-HD-Graphics-128GB-SSD-Akcija,46557093
Hewlett Packard,intel,i7,2,ddr3,8gb,hdd,,17.3`,43500,used,https://www.kupindo.com/Laptopovi/50086501_HP-DV7-i7-2630qm-8gb-750gb-AtiRadeon-Akcija,50086501
Apple,intel,i5,2,ddr3,4gb,hdd,250gb, 13``,43500,used,https://www.kupindo.com/Laptopovi/53810969_MacBook-Pro-13-2011God-i5-2-3Gh-4Gb-250Gb-HD3000,53810969
Hewlett Packard,intel,i7,2,,4gb,hdd,300 gb, 13``,43200,used,https://www.kupindo.com/Laptopovi/47494125_HP-EliteBook-820-G1-12-5-,47494125
Dell,intel,i3,2,ddr4,4gb,hdd,1TB,16``,42570,new,https://www.kupindo.com/Laptopovi/53712617_DELL-Inspiron-15-3567-NOT12785-Intel-Core-i3-7020U-2-3,53712617
Fujitsu,intel,i7,4,ddr3,8gb,ssd,500gb,15``,42500,used,https://www.kupindo.com/Laptopovi/46951893_Workstation-Fujitsu-CELSIUS-H720-i7-3-60GHz-8GB-SSD-500,46951893
Hewlett Packard,intel,i3,2,ddr4,4 gb,hdd,500 gb,15``,42210,new,https://www.kupindo.com/Laptopovi/46718633_HP-15-bs008nw-1WA45EAR,46718633
Apple,intel,i5,2,,500gb,hdd,, 13``,42000,used,https://www.kupindo.com/Laptopovi/53610393_MacBook-Pro-13-2012-i5-8GB-500GB-Mojave,53610393
Lenovo,intel,i5,2,ddr3,8 gb,ssd,128 gb,12.5`,41400,used,https://www.kupindo.com/Laptopovi/46597537_Lenovo-i5-8gb-128-GB-SSD-Intel-HD-5500-Akcija,46597537
Dell,intel,i7,2,ddr3,6gb,hdd,500gb,17.3,41000,used,https://www.kupindo.com/Laptopovi/44833365_DELL-XPS-17-Intel-Core-i7-2630Q-6Gb-500Gb-17-3Inch-Led,44833365
Lenovo,intel,i5,2,ddr3,8gb,ssd,512gb, 14``,40050,used,https://www.kupindo.com/Laptopovi/46281981_Lenovo-i5-8gb-512-ssd-Intel-HD-Graphics-4000-Akcija,46281981
Acer,intel,i5,2,ddr3,8gb,hdd,500gb,17.3,40000,used,https://www.kupindo.com/Laptopovi/53990297_Gejmer-Acer-Aspire-E1-572G-i5-4200U-8Gb-500Gb-GTX820,53990297
Hewlett Packard,intel,i5,2,,8gb,ssd,, 14``,40000,defective,https://www.kupindo.com/Laptopovi/54145207_14-HP-ProBook-i5-4200m-8gb-RAM-128gb-SSD-HD,54145207
Acer,intel,i3,2,ddr4,4gb,ssd,,15``,39000,new,https://www.kupindo.com/Laptopovi/53000769_Laptop-ACER-Aspire-3-120GB-SSD-5-Godina-Garancije,53000769
Acer,intel,i5,2,ddr3,8 gb,ssd,8 gb,15``,38999,defective,https://www.kupindo.com/Laptopovi/54081749_Acer-Aspire-V5-i5-ram-8GB-GPU-4GB-ODLICAN-ZVER,54081749
Hewlett Packard,intel,i5,2,ddr3,8gb,ssd,180 gb, 14``,37350,used,https://www.kupindo.com/Laptopovi/46703209_HP-EliteBook-i5-8GB-180-GB-SSD-Akcija,46703209
Asus,intel,i7,2,ddr3,6gb,hdd,500gb,15.6`,37000,used,https://www.kupindo.com/Laptopovi/50109073_Asus-X53-i7-6gb-500gb-dve-grafike-Akcija,50109073
Lenovo,intel,i5,2,ddr3,8gb,ssd,,16``,37000,used,https://www.kupindo.com/Laptopovi/51069889_BESPREKORAN-Lenovo-T530-i5-3320M-8gb-240gb-SSD-15-6inch,51069889
Dell,intel,i7,4,ddr3,8gb,hdd,500gb,15``,37000,used,https://www.kupindo.com/Laptopovi/54215311_TOP-Masina-Dell-XPS-JBL-i7-QuadCore-8GB-Dve-grafike-2,54215311
Lenovo,intel,i5,2,ddr4,8gb,ssd,500gb, 14``,36900,defective,https://www.kupindo.com/Laptopovi/45144977_Laptop-Fujitsu-LIFEBOOK-E736-i5-2-40GHz-8GBRAM-SSD-500G,45144977
Acer,intel,i7,2,ddr3,8gb,hdd,500gb,15.6,36500,used,https://www.kupindo.com/Laptopovi/49833073_Acer-Aspire-V5-573-i7-4500u-8Gb-500Gb-HD4000,49833073
Toshiba,intel,i5,2,ddr3,8gb,hdd,320gb,15``,36500,used,https://www.kupindo.com/Laptopovi/51669933_VRHUNSKA-Toshiba-tecra-A50-i5-4Gen-8GB-15-6-,51669933
Lenovo,intel,i5,2,ddr3,4gb,ssd,16gb, 14``,36500,used,https://www.kupindo.com/Laptopovi/53449997_Vrhunski-Lenovo-ThinkPad-T440-i5-4GB-16GB-SSD-500Hdd,53449997
Lenovo,intel,i5,2,ddr3,8gb,ssd,240gb, 14``,36400,used,https://www.kupindo.com/Laptopovi/46420249_Lenovo-i5-8gb-240-ssd-Intel-HD-Graphics-4000-Akcija,46420249
Dell,intel,i5,2,ddr3,8 gb,hdd,1TB,15``,36300,used,https://www.kupindo.com/Laptopovi/51537345_DELL-15-6-LED-Full-HD-i5-4310M-8GB-RAM-240GB-SSD-15,51537345
Hewlett Packard,intel,i5,2,ddr3,8gb,hdd,240gb, 12``,36000,used,https://www.kupindo.com/Laptopovi/53976981_HP-EliteBook-820-G1,53976981
Dell,intel,i5,2,ddr3,8gb,ssd,, 14``,35550,used,https://www.kupindo.com/Laptopovi/46235253_Dell-Latitude-i5-8gb-RAM-128ssd-Dve-Grafike-Akcija,46235253
Dell,intel,i7,2,,6gb,hdd,,15.6,35500,used,https://www.kupindo.com/Laptopovi/53990505_Dell-XPS-15-i7-2670-2-2Gh-6Gb-750Gb-GTX540-2Gb,53990505
Sony,intel,i5,2,ddr3,8gb,hdd,120gb,15``,35000,used,https://www.kupindo.com/Laptopovi/51926593_Kao-NOV-Sony-VAIO-i5-8GB-SSD-Full-HD-Svetleca-Tastatu,51926593
Lenovo,intel,i5,2,ddr3,8gb,hdd,1TB,15``,35000,used,https://www.kupindo.com/Laptopovi/53249273_Lenovo-IdeaPad-G50-80-i5-5-Gen-8GB-1TBhdd-15-6-,53249273
Hewlett Packard,intel,i5,2,ddr3,8gb,ssd,, 14``,35000,used,https://www.kupindo.com/Laptopovi/53327729_HP-EliteBook-840-G2-i5-5300U-8Gb-120Gb-SSD-FHD-4h,53327729
 14``,intel,i5,2,,8gb,ssd,,Ostalo,34800,used,https://www.kupindo.com/Laptopovi/52625409_HP-EliteBook-840,52625409
Lenovo,intel,i5,2,ddr3,8 gb,ssd,,12.5`,34650,used,https://www.kupindo.com/Laptopovi/46427597_Lenovo-i5-8gb-256-gb-SSD-Intel-HD-4400-Akcija,46427597
Lenovo,intel,i5,2,ddr3,4 gb,hdd,500 gb, 14``,34650,used,https://www.kupindo.com/Laptopovi/46597325_Lenovo-i5-4gb-500-GB-Intel-HD-4600-Akcija,46597325
